moneda_id,fecha,total_supply,circulating_supply,max_supply,sentiment_score,cambio_24h,cambio_7d
1,2025-05-27,19870668.0,19870521.0,21000000.0,,-0.1432,4.60762
2,2025-05-27,120725747.8619485,120725747.8619485,,,4.47665,7.59615
3,2025-05-27,145887575.79,145887575.79,200000000.0,,2.3061,7.21818
4,2025-05-27,601680214.5982286,520404160.2191327,,,0.24819,6.80117
5,2025-05-27,99986107098.0,58686007292.0,100000000000.0,,0.65618,0.08942
6,2025-05-27,45000000000.0,36072153255.98219,45000000000.0,,0.34691,5.01608
7,2025-05-27,149438306383.7052,149386596383.7052,,,1.11491,3.85529
8,2025-05-27,456155054.6699776,421152354.6699776,720000000.0,,-0.12768,5.82658
9,2025-05-27,1522267060.0,1522267060.0,,,1.10349,-0.38585
10,2025-05-27,94873686635.62128,94873823987.5429,,,0.3729,0.97127
12,2025-05-27,1000000000.0,657099970.4527868,1000000000.0,,2.39457,2.74577
13,2025-05-27,75900189.48347135,75895864.48347135,84000000.0,,-0.99993,2.48787
14,2025-05-27,451382648.43361,451382648.43361,,,0.67055,3.05366
15,2025-05-27,19875362.39665078,19875362.39665078,21000000.0,,0.93952,8.7014
16,2025-05-27,50001786892.81785,31115810343.48219,50001786892.81785,,1.01935,2.54168
17,2025-05-27,1252297934.0,1219004588.0,,,2.27398,5.18296
18,2025-05-27,1959481541.0,668941474.0,1959481541.0,,2.73516,2.69118
19,2025-05-27,1152472741.732884,633070481.7891352,,,0.85089,6.95838
20,2025-05-27,50000000000.0,42239760469.06559,50000000000.0,,0.18925,-2.30302
